date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:49	77935/77935	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Feb%202024%2022:15:45%20GMT	https://boorniimichelefry.com/img/team/rev1.jpeg	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/img/team/rev1.jpg	(from https://boorniimichelefry.com/)
10:16:49	27918/27918	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/img/google-logo.png	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/img/google-logo.png	(from https://boorniimichelefry.com/)
10:16:49	42044/42044	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/img/team/2.jpg	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/img/team/2.jpg	(from https://boorniimichelefry.com/)
10:16:50	33715/33715	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/img/team/4.jpg	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/img/team/4.jpg	(from https://boorniimichelefry.com/)
10:16:50	18871/18871	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/img/clients/7.png	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/img/clients/7.png	(from https://boorniimichelefry.com/)
10:16:51	22220/22220	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/img/clients/9.png	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/img/clients/9.png	(from https://boorniimichelefry.com/)
10:16:51	192500/192500	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/img/clients/8.png	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/img/clients/8.png	(from https://boorniimichelefry.com/)
10:16:52	21694/21694	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/img/clients/12.png	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/img/clients/12.png	(from https://boorniimichelefry.com/)
10:16:53	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Sep%202024%2009:16:52%20GMT	https://boorniimichelefry.com/img/patrn1.png	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/img/patrn1.png	(from https://boorniimichelefry.com/)
10:16:53	139407/139407	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/img/clients/13.png	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/img/clients/13.png	(from https://boorniimichelefry.com/)
10:16:53	89947/89947	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/js/jquery-3.6.3.min.js	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/js/jquery-3.6.3.min.js	(from https://boorniimichelefry.com/)
10:16:53	7083/7083	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/js/jquery-migrate-3.0.0.min.js	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/js/jquery-migrate-3.0.0.min.js	(from https://boorniimichelefry.com/)
10:16:54	15413/15413	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Jan%202024%2018:40:23%20GMT	https://boorniimichelefry.com/js/modernizr-2.6.2.min.js	C:/Users/user/Desktop/frontend/omann1/boorniimichelefry.com/js/modernizr-2.6.2.min.js	(from https://boorniimichelefry.com/)
